# norm1   norm2  g21_pred   casA_pred   g21_diff   casA_diff   g21_chisq   casA_chisq
0.02 0.73 0.164694 0.006927 -0.6956 -0.778 146.8942 0.0147
0.02 0.74 0.158721 0.006678 -0.7066 -0.7859 151.5944 0.015
0.02 0.75 0.152748 0.00643 -0.7177 -0.7939 156.3685 0.0153
0.02 0.76 0.146776 0.006181 -0.7287 -0.8019 161.2167 0.0156
0.02 0.77 0.140803 0.005932 -0.7397 -0.8099 166.1389 0.016
0.02 0.78 0.13483 0.005683 -0.7508 -0.8178 171.1351 0.0163
0.02 0.79 0.128857 0.005435 -0.7618 -0.8258 176.2053 0.0166
0.02 0.8 0.122884 0.005186 -0.7729 -0.8338 181.3495 0.0169
0.02 0.81 0.116911 0.004937 -0.7839 -0.8418 186.5677 0.0172
0.02 0.82 0.110938 0.004689 -0.7949 -0.8497 191.86 0.0176
0.02 0.83 0.104965 0.00444 -0.806 -0.8577 197.2262 0.0179
0.02 0.84 0.098993 0.004191 -0.817 -0.8657 202.6665 0.0182
0.02 0.85 0.09302 0.003942 -0.8281 -0.8736 208.1808 0.0186
0.02 0.86 0.087047 0.003694 -0.8391 -0.8816 213.7691 0.0189
0.02 0.87 0.081074 0.003445 -0.8501 -0.8896 219.4315 0.0193
0.02 0.88 0.075101 0.003196 -0.8612 -0.8976 225.1678 0.0196
0.02 0.89 0.069128 0.002947 -0.8722 -0.9055 230.9782 0.0199
0.02 0.9 0.063155 0.002699 -0.8833 -0.9135 236.8625 0.0203
0.02 0.91 0.057182 0.00245 -0.8943 -0.9215 242.8209 0.0207
0.02 0.92 0.05121 0.002201 -0.9053 -0.9295 248.8533 0.021
0.02 0.93 0.045237 0.001952 -0.9164 -0.9374 254.9598 0.0214
0.02 0.94 0.039264 0.001704 -0.9274 -0.9454 261.1402 0.0217
0.02 0.95 0.033291 0.001455 -0.9385 -0.9534 267.3946 0.0221
0.02 0.96 0.027318 0.001206 -0.9495 -0.9613 273.7231 0.0225
0.02 0.97 0.021345 0.000957 -0.9605 -0.9693 280.1256 0.0229
0.02 0.98 0.015372 0.000709 -0.9716 -0.9773 286.6021 0.0232
0.02 0.99 0.0094 0.00046 -0.9826 -0.9853 293.1526 0.0236
0.03 0.0 0.600594 0.025081 0.1102 -0.1961 3.6841 0.0009
0.03 0.01 0.594621 0.024832 0.0991 -0.2041 2.9826 0.001
0.03 0.02 0.588649 0.024583 0.0881 -0.2121 2.3552 0.0011
0.03 0.03 0.582676 0.024334 0.077 -0.22 1.8017 0.0012
0.03 0.04 0.576703 0.024086 0.066 -0.228 1.3223 0.0013
0.03 0.05 0.57073 0.023837 0.055 -0.236 0.9169 0.0014
0.03 0.06 0.564757 0.023588 0.0439 -0.244 0.5855 0.0014
0.03 0.07 0.558784 0.02334 0.0329 -0.2519 0.3281 0.0015
0.03 0.08 0.552811 0.023091 0.0218 -0.2599 0.1447 0.0016
0.03 0.09 0.546839 0.022842 0.0108 -0.2679 0.0354 0.0017
0.03 0.1 0.540866 0.022593 -0.0002 -0.2759 0.0 0.0019
0.03 0.11 0.534893 0.022345 -0.0113 -0.2838 0.0387 0.002
0.03 0.12 0.52892 0.022096 -0.0223 -0.2918 0.1514 0.0021
0.03 0.13 0.522947 0.021847 -0.0334 -0.2998 0.3381 0.0022
0.03 0.14 0.516974 0.021598 -0.0444 -0.3077 0.5988 0.0023
0.03 0.15 0.511001 0.02135 -0.0555 -0.3157 0.9335 0.0024
0.03 0.16 0.505028 0.021101 -0.0665 -0.3237 1.3423 0.0025
0.03 0.17 0.499056 0.020852 -0.0775 -0.3317 1.825 0.0027
0.03 0.18 0.493083 0.020603 -0.0886 -0.3396 2.3818 0.0028
0.03 0.19 0.48711 0.020355 -0.0996 -0.3476 3.0126 0.0029
0.03 0.2 0.481137 0.020106 -0.1107 -0.3556 3.7174 0.0031
0.03 0.21 0.475164 0.019857 -0.1217 -0.3636 4.4962 0.0032
0.03 0.22 0.469191 0.019608 -0.1327 -0.3715 5.3491 0.0034
0.03 0.23 0.463218 0.01936 -0.1438 -0.3795 6.2759 0.0035
