# Ang	-new/-old	+new/+old
# N	N	N
62.91	0.945821	0.94566
  63	0.94564	0.945485
63.09	0.945549	0.9454
63.18	0.945459	0.945299
63.27	0.945368	0.945214
63.36	0.945261	0.94513
63.45	0.94508	0.945045
63.54	0.94499	0.94487
63.63	0.9449	0.944786
63.72	0.944809	0.944685
63.81	0.944719	0.9446
63.9	0.944612	0.944516
63.99	0.944431	0.944341
64.08	0.944341	0.944257
64.17	0.94425	0.944172
64.26	0.94416	0.944071
64.35	0.94407	0.943987
64.44	0.94389	0.943902
64.53	0.943783	0.943728
64.62	0.943692	0.943644
64.71	0.943602	0.943543
64.8	0.943512	0.943458
64.89	0.943422	0.943374
64.98	0.943242	0.9432
65.07	0.943135	0.943115
65.16	0.943045	0.943031
65.25	0.942955	0.94293
65.34	0.942865	0.942846
65.43	0.942684	0.942762
65.52	0.942594	0.942588
65.61	0.942488	0.942504
65.7	0.942398	0.942419
65.79	0.942308	0.942319
65.88	0.942218	0.942235
65.97	0.942038	0.94206
66.06	0.941948	0.941976
66.15	0.941858	0.941892
66.24	0.941752	0.941808
66.33	0.941662	0.941708
66.42	0.941572	0.941624
66.51	0.941392	0.94145
66.6	0.941302	0.941366
66.69	0.941213	0.941282
66.78	0.941106	0.941198
66.87	0.941016	0.941097
66.96	0.940837	0.940923
67.05	0.940776	0.940868
67.14	0.94077	0.940867
67.23	0.940764	0.940866
67.32	0.940758	0.940848
67.41	0.940735	0.940847
67.5	0.940639	0.940756
67.59	0.940633	0.940755
67.68	0.940627	0.940754
67.77	0.940621	0.940753
67.86	0.940614	0.940735
67.95	0.940502	0.940644
68.04	0.940496	0.940643
68.13	0.940489	0.940642
68.22	0.940483	0.940641
68.31	0.940477	0.940639
68.4	0.940471	0.940622
68.49	0.940375	0.940531
68.58	0.940352	0.94053
68.67	0.940346	0.940528
68.76	0.94034	0.940527
68.85	0.940334	0.940526
68.94	0.940328	0.940418
69.03	0.940232	0.940417
69.12	0.940209	0.940416
69.21	0.940203	0.940415
69.3	0.940197	0.940414
69.39	0.940191	0.940413
69.48	0.940095	0.940305
69.57	0.940089	0.940304
69.66	0.940066	0.940303
69.75	0.94006	0.940302
69.84	0.940054	0.940301
69.93	0.940048	0.940193
70.02	0.939952	0.940192
70.11	0.939945	0.940191
70.2	0.939939	0.94019
70.29	0.939917	0.940189
70.38	0.93991	0.940188
70.47	0.939814	0.94008
70.56	0.939808	0.940079
70.65	0.939802	0.940078
70.74	0.939796	0.940077
70.83	0.939773	0.940075
70.92	0.939767	0.939984
71.01	0.939671	0.939967
71.1	0.939665	0.939965
71.19	0.939659	0.939964
71.28	0.939653	0.939963
71.37	0.939647	0.939962
71.46	0.939624	0.939871
71.55	0.939528	0.939853
71.64	0.939522	0.939852
71.73	0.939516	0.939851
71.82	0.93951	0.93985
71.91	0.939504	0.939759
  72	0.939391	0.939758
72.09	0.939385	0.93974
72.18	0.939379	0.939739
72.27	0.939373	0.939738
72.36	0.939367	0.939647
72.45	0.93936	0.939646
72.54	0.939248	0.939645
72.63	0.939242	0.939627
72.72	0.939236	0.939626
72.81	0.93923	0.939625
72.9	0.939224	0.939534
72.99	0.939096	0.939502
73.08	0.939042	0.939437
73.17	0.938971	0.939388
73.26	0.938916	0.93934
73.35	0.938861	0.939201
73.44	0.938807	0.939153
73.53	0.938662	0.939104
73.62	0.938608	0.939039
73.71	0.938537	0.938991
73.8	0.938482	0.938942
73.89	0.938428	0.938804
73.98	0.938373	0.938756
74.07	0.938229	0.938707
74.16	0.938174	0.938642
74.25	0.93812	0.938594
74.34	0.938048	0.938455
74.43	0.937994	0.938407
74.52	0.93785	0.938359
74.61	0.937795	0.93831
74.7	0.937741	0.938245
74.79	0.937686	0.938197
74.88	0.937615	0.938058
74.97	0.937561	0.93801
75.06	0.937416	0.937962
75.15	0.937362	0.937914
75.24	0.937308	0.937848
75.33	0.937253	0.93771
75.42	0.937199	0.937662
75.51	0.937038	0.937614
75.6	0.936984	0.937565
75.69	0.936929	0.9375
75.78	0.936875	0.937452
75.87	0.936821	0.937314
75.96	0.936766	0.937265
76.05	0.936605	0.937217
76.14	0.936551	0.937169
76.23	0.936497	0.937104
76.32	0.936442	0.936966
76.41	0.936388	0.936918
76.5	0.936334	0.936869
76.59	0.936173	0.936821
76.68	0.936119	0.936773
76.77	0.936065	0.936708
76.86	0.93601	0.93657
76.95	0.935956	0.936522
77.04	0.935812	0.936473
77.13	0.935758	0.936425
77.22	0.935687	0.936377
77.31	0.935633	0.936222
77.4	0.935578	0.936174
77.49	0.935524	0.936126
77.58	0.93538	0.936099
77.67	0.935326	0.936072
77.76	0.935255	0.936046
77.85	0.935201	0.935912
77.94	0.935147	0.935886
78.03	0.935003	0.935859
78.12	0.934949	0.935832
78.21	0.934894	0.935805
78.3	0.93484	0.935672
78.39	0.934769	0.935645
78.48	0.934715	0.935619
78.57	0.934571	0.935592
78.66	0.934517	0.935565
78.75	0.934463	0.935538
78.84	0.934409	0.935405
78.93	0.934338	0.935378
79.02	0.934284	0.935352
79.11	0.93414	0.935325
79.2	0.934086	0.935298
79.29	0.934032	0.935182
79.38	0.933978	0.935138
79.47	0.933907	0.935112
79.56	0.933764	0.935085
79.65	0.93371	0.935058
79.74	0.933656	0.935031
79.83	0.933601	0.934915
79.92	0.933547	0.934871
80.01	0.933493	0.934845
80.1	0.933333	0.934818
80.19	0.933279	0.934702
80.28	0.933225	0.934675
80.37	0.933171	0.934558
80.46	0.933117	0.934515
80.55	0.932974	0.934488
80.64	0.932903	0.934372
80.73	0.932849	0.934345
80.82	0.932795	0.934229
80.91	0.932741	0.934202
  81	0.932687	0.934159
81.09	0.932544	0.934042
81.18	0.93249	0.934016
81.27	0.932419	0.933989
81.36	0.932365	0.933873
81.45	0.932311	0.933829
81.54	0.932257	0.933713
81.63	0.932114	0.933686
81.72	0.93206	0.933659
81.81	0.931989	0.933543
81.9	0.931936	0.933517
81.99	0.931882	0.933473
82.08	0.931738	0.933357
82.17	0.931685	0.93333
82.26	0.931631	0.933214
82.35	0.93156	0.933187
82.44	0.931506	0.933161
82.53	0.931453	0.933028
82.62	0.931309	0.933001
82.71	0.93124	0.932916
82.8	0.931162	0.932702
82.89	0.931083	0.932577
82.98	0.930987	0.932363
83.07	0.930819	0.932222
83.16	0.93074	0.932097
83.25	0.930661	0.931883
83.34	0.930582	0.931759
83.43	0.930503	0.931635
83.52	0.930408	0.931421
83.61	0.93024	0.93128
83.7	0.930161	0.931156
83.79	0.930082	0.930942
83.88	0.930003	0.930818
83.97	0.929924	0.930694
84.06	0.929846	0.930463
84.15	0.929661	0.930339
84.24	0.929582	0.930126
84.33	0.929504	0.930002
84.42	0.929425	0.929878
84.51	0.929346	0.929664
84.6	0.929178	0.929524
84.69	0.929083	0.9294
84.78	0.929005	0.929187
84.87	0.928926	0.929063
84.96	0.928847	0.92894
85.05	0.928769	0.928726
85.14	0.928601	0.928586
85.23	0.928522	0.928463
85.32	0.928427	0.92825
85.41	0.928349	0.928126
85.5	0.92827	0.928003
85.59	0.928102	0.92779
85.68	0.928024	0.92765
85.77	0.927946	0.927527
85.86	0.927851	0.927314
85.95	0.927772	0.927191
86.04	0.927694	0.927067
86.13	0.927526	0.926855
86.22	0.927448	0.926715
86.31	0.927369	0.926503
86.4	0.927275	0.92638
86.49	0.927196	0.926257
86.58	0.927118	0.926045
86.67	0.92695	0.925905
86.76	0.926872	0.925782
86.85	0.926794	0.92557
86.94	0.926715	0.925447
87.03	0.926621	0.925324
87.12	0.926453	0.925112
87.21	0.926375	0.924973
87.3	0.926297	0.92485
87.39	0.926219	0.924638
87.48	0.92614	0.924516
87.57	0.926046	0.924393
87.66	0.925879	0.924271
87.75	0.925801	0.924042
87.84	0.925722	0.92392
87.93	0.925644	0.923797
88.02	0.925477	0.923586
88.11	0.925399	0.923464
88.2	0.925305	0.923341
88.29	0.925137	0.923113
88.38	0.925059	0.922991
88.47	0.924981	0.922869
88.56	0.924815	0.922658
88.65	0.924777	0.922632
88.74	0.924724	0.922607
88.83	0.924597	0.922477
88.92	0.92456	0.922452
89.01	0.924523	0.922428
89.1	0.924486	0.922314
